Canton,Year,price_before_surcharge,renewable_surcharge,total_price,solar_power_installed_kwp,adoption_rate,price_change,price_before_surcharge_change
Grisons,2023,0.212972104531453,0.023,0.235972104531453,110439.83333333331,19.258502697376368,19.393365837481745,21.947424909033053
Grisons,2024,0.2668813016971917,0.023,0.2898813016971917,138613.55555555556,25.510471513649733,22.845580528588716,25.312797318851253
Jura,2022,0.1956229311274302,0.023,0.2186229311274302,56869.75,15.914047531694585,-1.5261470806288369,-1.7025260586227442
Jura,2023,0.2004237913769117,0.023,0.2234237913769116,68739.41666666667,20.871670205454862,2.195954571061476,2.454139819811907
Jura,2024,0.2440590327458461,0.023,0.2670590327458461,85723.44444444444,24.707843914558136,19.530257319518253,21.77148784042067
Lucerne,2022,0.1597834849785755,0.023,0.1827834849785755,246438.0,16.283887114438443,18.925453396528734,22.255975614950607
Lucerne,2023,0.2434645812067236,0.023,0.2664645812067236,298148.8333333333,20.98330344075723,45.78154106097527,52.37155532023128
Lucerne,2024,0.2517721269595441,0.023,0.2747721269595441,399465.4444444445,33.98189084907075,3.1176923083730657,3.412219433169472
Neuchâtel,2022,0.1829383097346068,0.023,0.2059383097346068,68956.58333333333,19.016448994080527,8.40798845192161,9.566210752625226
Neuchâtel,2023,0.2400478046867627,0.023,0.2630478046867627,84327.83333333333,22.291200139218038,27.731360437867547,31.217898008900423
Neuchâtel,2024,0.3004432705436469,0.023,0.3234432705436469,109531.22222222222,29.8873905478684,22.95988211298823,25.15976596232319
Nidwalden,2022,0.1452834196731624,0.023,0.1682834196731623,13969.166666666666,39.40031999787112,-0.07043463156655161,-0.08157613001963382
Nidwalden,2023,0.1533902996731624,0.023,0.1763902996731624,17025.916666666668,21.882121338662543,4.817396755868852,5.580044865572176
Nidwalden,2024,0.1760041553996581,0.023,0.1990041553996581,23253.0,36.57414431919963,12.820351101164551,14.742689579901969
Obwalden,2022,0.1671889685614407,0.023,0.1901889685614408,19271.666666666668,13.453507904362706,-0.22655325739311394,-0.2576396387011348
Obwalden,2023,0.2527938477308181,0.023,0.2757938477308181,22961.33333333333,19.14555046268267,45.01043347407532,51.20246862335194
Obwalden,2024,0.2528271810641514,0.023,0.2758271810641514,30164.0,31.368677777132593,0.012086322304694086,0.013185974909024623
Schaffhausen,2022,0.1545669570790443,0.023,0.1775669570790443,31656.916666666668,17.91295592049473,3.606905547869199,4.1659828550026035
Schaffhausen,2023,0.1994620924672592,0.023,0.2224620924672592,37655.25,18.947939233922018,25.28349650561943,29.045752233613477
Schaffhausen,2024,0.2546063007358144,0.023,0.2776063007358144,48907.66666666666,29.882729942482534,24.7881370066098,27.64646033060487
Schwyz,2022,0.1603046164952006,0.023,0.1833046164952006,53987.75,19.19588548416653,0.7372392783230763,0.8439087004693313
Schwyz,2023,0.2502578537396386,0.023,0.2732578537396385,66960.58333333333,24.029216504361315,49.07308880940984,56.11394057833083
Schwyz,2024,0.2828456859686447,0.023,0.3058456859686446,94801.77777777778,41.57848253180458,11.925670857407788,13.021702113256971
Solothurn,2022,0.1773505992710044,0.023,0.2003505992710045,126788.58333333331,13.267097084658097,3.3458535892013863,3.7962383873453964
Solothurn,2023,0.2362753575275873,0.023,0.2592753575275873,153071.25,20.729521519747784,29.410822064414276,33.22501220677672
Solothurn,2024,0.2835670807157057,0.023,0.3065670807157057,194964.44444444444,27.368427738353507,18.239960649976727,20.0155122747393
St Gallen,2022,0.1608934799936544,0.023,0.1838934799936544,277911.3333333333,20.010456044166403,4.712813501212465,5.423053679184342
St Gallen,2023,0.2294142479334611,0.023,0.2524142479334612,342145.8333333333,23.113307121935776,37.261118742312796,42.587659824692196
St Gallen,2024,0.2737605288844462,0.023,0.2967605288844462,442869.0,29.438665286488465,17.56885013982061,19.3302209215215
Thurgau,2022,0.1620876328476402,0.023,0.1850876328476402,189841.0,19.895515120434858,4.88197210598198,5.613604820011919
Thurgau,2023,0.2163106282458309,0.023,0.2393106282458309,237296.16666666663,24.997322320608628,29.295850059752926,33.452888690872214
Thurgau,2024,0.2713369083053195,0.023,0.2943369083053195,314544.44444444444,32.55352956724733,22.993663283087894,25.43854664272567
Ticino,2022,0.1734348156597606,0.023,0.1964348156597606,124409.33333333331,18.344643721196864,2.5958448739357376,2.950248116156806
Ticino,2023,0.2341266265837492,0.023,0.2571266265837493,163649.66666666666,31.541309869570355,30.896667029286373,34.99401818090091
Ticino,2024,0.2735524046310427,0.023,0.2965524046310427,234354.88888888888,43.20523448803575,15.333214833140563,16.839510577063965
Uri,2022,0.1669812174145869,0.023,0.1899812174145868,8803.416666666666,31.951626521975896,1.3344277740237276,1.521027624183846
Uri,2023,0.2482836903896296,0.023,0.2712836903896296,12184.833333333334,38.41027631317389,42.795005780819025,48.6895917001144
Uri,2024,0.2679810325670498,0.023,0.2909810325670498,17198.666666666668,41.14814865474838,7.260791147868151,7.933401564359421
Valais,2022,0.1571033916467236,0.023,0.1801033916467236,146626.83333333334,18.99307218078876,9.768095623171424,11.360611551079147
Valais,2023,0.2577020009405547,0.023,0.2807020009405547,178957.33333333334,22.04951117405749,55.85603267880557,64.03337842638426
Valais,2024,0.2592473293501652,0.023,0.2822473293501652,231806.5555555556,29.53174437606483,0.5505227623716857,0.5996571248847227
Vaud,2022,0.1819019404111029,0.023,0.2049019404111029,307867.6666666667,17.78101092148805,1.9701241411755666,2.2247721285281408
Vaud,2023,0.2450653619041485,0.023,0.2680653619041485,365003.6666666667,18.558623131367046,30.826170492245364,34.72388549033323
Vaud,2024,0.2863365386197187,0.023,0.3093365386197187,457264.1111111111,25.276580174384854,15.39593792439602,16.840885384574445
Zug,2022,0.1650366640041921,0.023,0.188036664004192,46122.66666666666,17.142583811451615,2.3890430934619733,2.731080211110526
Zug,2023,0.2467561615987505,0.023,0.2697561615987505,57282.583333333336,24.196165298334904,43.45934237204754,49.51596549023958
Zug,2024,0.2868721154628962,0.023,0.3098721154628962,70658.11111111111,23.350077806275227,14.871190940141087,16.257326100483827
Zurich,2022,0.151312077992293,0.023,0.174312077992293,312996.0,26.12821721732612,2.5283552170844104,2.923911797537526
Zurich,2023,0.1899007822472242,0.023,0.2129007822472242,390368.3333333333,24.7199112235726,22.13771110951781,25.50272573541468
Zurich,2024,0.2504209126321668,0.023,0.2734209126321669,515065.3333333333,31.94342095713023,28.426448107018064,31.869342331699247
