canton,energyreporter_date,solar_power_installed_kwp
GL,2024-08-31,27733
GL,2024-09-30,29873
GR,2021-03-31,65621
GR,2021-04-30,65621
GR,2021-05-31,76824
GR,2021-06-30,78941
GR,2021-07-31,79972
GR,2021-08-31,79972
GR,2021-09-30,81547
GR,2021-10-31,83204
GR,2021-11-30,85484
GR,2021-12-31,87080
GR,2022-01-31,87070
GR,2022-02-28,87519
GR,2022-03-31,88901
GR,2022-04-30,89974
GR,2022-05-31,92228
GR,2022-06-30,92894
GR,2022-07-31,92725
GR,2022-08-31,93686
GR,2022-09-30,94792
GR,2022-10-31,94793
GR,2022-11-30,97209
GR,2022-12-31,99474
GR,2023-01-31,99474
GR,2023-02-28,101094
GR,2023-03-31,102893
GR,2023-04-30,105275
GR,2023-05-31,108023
GR,2023-06-30,110820
GR,2023-07-31,112324
GR,2023-08-31,113893
GR,2023-09-30,113893
GR,2023-10-31,114349
GR,2023-11-30,118747
GR,2023-12-31,124493
GR,2024-01-31,127821
GR,2024-02-29,127821
GR,2024-03-31,127821
GR,2024-04-30,135576
GR,2024-05-31,139307
GR,2024-06-30,139307
GR,2024-07-31,147614
GR,2024-08-31,147614
GR,2024-09-30,154641
JU,2021-03-31,42651
JU,2021-04-30,42651
JU,2021-05-31,48392
JU,2021-06-30,50186
JU,2021-07-31,49580
JU,2021-08-31,49580
JU,2021-09-30,50004
JU,2021-10-31,51938
JU,2021-11-30,52250
JU,2021-12-31,53388
JU,2022-01-31,53388
JU,2022-02-28,54998
JU,2022-03-31,55934
JU,2022-04-30,56261
JU,2022-05-31,58594
JU,2022-06-30,58939
JU,2022-07-31,55396
JU,2022-08-31,55944
JU,2022-09-30,56672
JU,2022-10-31,56672
JU,2022-11-30,57879
JU,2022-12-31,61760
JU,2023-01-31,61588
JU,2023-02-28,62824
JU,2023-03-31,63698
JU,2023-04-30,65314
JU,2023-05-31,66362
JU,2023-06-30,67383
JU,2023-07-31,69324
JU,2023-08-31,72238
JU,2023-09-30,72238
JU,2023-10-31,72674
JU,2023-11-30,73737
JU,2023-12-31,77493
JU,2024-01-31,78789
JU,2024-02-29,78789
JU,2024-03-31,78789
JU,2024-04-30,84188
JU,2024-05-31,85497
JU,2024-06-30,85497
JU,2024-07-31,91721
JU,2024-08-31,91721
JU,2024-09-30,96520
LU,2021-03-31,186286
LU,2021-04-30,186284
LU,2021-05-31,206956
LU,2021-06-30,211209
LU,2021-07-31,216017
LU,2021-08-31,216017
LU,2021-09-30,218142
LU,2021-10-31,222022
LU,2021-11-30,226262
LU,2021-12-31,230084
LU,2022-01-31,230283
LU,2022-02-28,232394
LU,2022-03-31,236570
LU,2022-04-30,241394
LU,2022-05-31,245764
LU,2022-06-30,248043
LU,2022-07-31,246191
LU,2022-08-31,249376
LU,2022-09-30,253222
LU,2022-10-31,253223
LU,2022-11-30,257099
LU,2022-12-31,263697
LU,2023-01-31,263697
LU,2023-02-28,268177
LU,2023-03-31,272862
LU,2023-04-30,279167
LU,2023-05-31,283106
LU,2023-06-30,295066
LU,2023-07-31,301544
LU,2023-08-31,310973
LU,2023-09-30,310973
LU,2023-10-31,318231
LU,2023-11-30,327538
LU,2023-12-31,346452
LU,2024-01-31,362519
LU,2024-02-29,362519
LU,2024-03-31,362519
LU,2024-04-30,394769
LU,2024-05-31,404405
LU,2024-06-30,404405
LU,2024-07-31,428361
LU,2024-08-31,428361
LU,2024-09-30,447331
NE,2021-03-31,51424
NE,2021-04-30,51424
NE,2021-05-31,56281
NE,2021-06-30,58046
NE,2021-07-31,59269
NE,2021-08-31,59269
NE,2021-09-30,59563
